run,layer,Latitude_End,Longitude_End,MAG,RPKM
ERR599120,Surface,-25.8126,-111.7386,MS024.2A_sp5,0.15504281
ERR599123,Surface,31.8366,-64.109,MS024.2A_sp5,0.053587041
ERR599126,Surface,-21.0073,-35.3344,MS024.2A_sp5,0.023132451
ERR599129,Surface,-31.0263,4.6977,MS024.2A_sp5,0.016174738
ERR599134,Surface,22.1283,38.1967,MS024.2A_sp5,0.015891708
ERR599135,Surface,-20.3976,-3.2009,MS024.2A_sp5,0.013216062
ERR599136,Surface,25.5416,88.4044,MS024.2A_sp5,0.024983488
ERR599138,Surface,-9.4112,66.3281,MS024.2A_sp5,0.019998739
ERR599139,Surface,-17.2387,53.9775,MS024.2A_sp5,0.014469925
ERR599140,Surface,35.7392,14.3321,MS024.2A_sp5,1.110285619
ERR599141,Surface,6.0124,73.8985,MS024.2A_sp5,0.013520462
ERR599142,Surface,31.493,-159.0606,MS024.2A_sp5,0.16096533
ERR599143,Surface,20.8151,63.5046,MS024.2A_sp5,0.02408722
ERR599144,Surface,32.1,17.7,MS024.2A_sp5,0.05336181
ERR599146,Surface,-35.2087,26.2932,MS024.2A_sp5,0.018160424
ERR599150,Surface,-29.5023,37.9965,MS024.2A_sp5,0.02011023
ERR599151,Surface,-9.1552,-140.5284,MS024.2A_sp5,0.025198672
ERR599155,Surface,23.4017,37.2183,MS024.2A_sp5,0.005828339
ERR599158,Surface,19.0342,64.5162,MS024.2A_sp5,0.025103008
ERR599160,Surface,-8.8951,-140.3174,MS024.2A_sp5,0.015815162
ERR599162,Surface,7.416,79.3102,MS024.2A_sp5,0.035829648
ERR599163,Surface,-12.9488,-96.0293,MS024.2A_sp5,0.066391942
ERR599165,Surface,-20.3976,-3.2009,MS024.2A_sp5,0.013516168
ERR599169,Surface,-12.9488,-96.0293,MS024.2A_sp5,0.063574301
ERR599171,Surface,-31.0263,4.6977,MS024.2A_sp5,0.017112491
ERR599173,Surface,-34.8986,18.03,MS024.2A_sp5,0.034639315
ERR599174,Surface,-31.0263,4.6977,MS024.2A_sp5,0.012521707
ERR599176,Surface,-62.1363,-49.3331,MS024.2A_sp5,0.072629893
ERR1701760,DCM,18.5679,66.4581,UBA7428_sp2,0.030200676
ERR315859,DCM,42.1659,17.7285,UBA7428_sp2,0.104604049
ERR315860,DCM,42.1659,17.7285,UBA7428_sp2,0.105633533
ERR318618,DCM,33.93,32.7322,UBA7428_sp2,0.122068529
ERR318619,DCM,33.93,32.7322,UBA7428_sp2,0.174460355
ERR318620,DCM,33.93,32.7322,UBA7428_sp2,0.107909799
ERR318621,DCM,33.93,32.7322,UBA7428_sp2,0.17043329
ERR3589553,DCM,78.9332,79.0913,UBA7428_sp2,4.973293118
ERR3589564,DCM,67.18,0.4881,UBA7428_sp2,1.654186747
ERR3589565,DCM,72.5971,44.1735,UBA7428_sp2,8.710292617
ERR3589569,DCM,78.0015,116.4698,UBA7428_sp2,3.668257798
ERR3589571,DCM,73.3091,-168.9031,UBA7428_sp2,5.221482471
ERR3589572,DCM,74.335,-85.5414,UBA7428_sp2,4.909048534
ERR3589578,DCM,74.8283,76.2096,UBA7428_sp2,4.381536949
ERR3589579,DCM,78.3396,91.6416,UBA7428_sp2,3.736468835
ERR3589583,DCM,54.525,-16.689,UBA7428_sp2,0.137227384
ERR598942,DCM,35.4118,-127.7122,UBA7428_sp2,0.091814439
ERR598948,DCM,-8.9632,-139.2276,UBA7428_sp2,0.081013134
ERR598949,DCM,19.0108,64.532,UBA7428_sp2,0.065430241
ERR598950,DCM,35.5571,-6.5586,UBA7428_sp2,0.117800808
ERR598952,DCM,2.0663,-84.5304,UBA7428_sp2,0.091491187
ERR598957,DCM,-23.1569,-129.5943,UBA7428_sp2,0.07645226
ERR598961,DCM,-16.9687,-100.7324,UBA7428_sp2,0.089729748
ERR598962,DCM,-5.2476,-85.3343,UBA7428_sp2,0.09273122
ERR598965,DCM,-33.832,-73.0366,UBA7428_sp2,0.219365275
ERR598972,DCM,-29.5123,37.8586,UBA7428_sp2,0.132689496
ERR598974,DCM,20.8199,63.5138,UBA7428_sp2,0.077506609
ERR598975,DCM,18.49,39.8483,UBA7428_sp2,0.039640852
ERR598977,DCM,14.5375,70.0244,UBA7428_sp2,0.053153167
ERR598982,DCM,-34.8477,18.1136,UBA7428_sp2,0.07882415
ERR598986,DCM,36.2108,-28.7989,UBA7428_sp2,0.081269
ERR598987,DCM,14.2016,-116.696,UBA7428_sp2,0.07119249
ERR598990,DCM,-35.2528,26.317,UBA7428_sp2,0.122751639
ERR598995,DCM,31.4813,-159.088,UBA7428_sp2,0.056468587
ERR598996,DCM,35.7956,-37.0998,UBA7428_sp2,0.092865589
ERR599002,DCM,-16.9675,53.9199,UBA7428_sp2,0.071313243
ERR599007,DCM,-5.2476,-85.3343,UBA7428_sp2,0.091401474
ERR599013,DCM,5.9997,73.914,UBA7428_sp2,0.053301515
ERR599014,DCM,-1.8505,-84.6318,UBA7428_sp2,0.095205194
ERR599016,DCM,-16.9675,53.9199,UBA7428_sp2,0.074481818
ERR599017,DCM,-31.0136,4.6932,UBA7428_sp2,0.056205488
ERR599018,DCM,-35.2528,26.317,UBA7428_sp2,0.124868985
ERR599023,DCM,-29.5123,37.8586,UBA7428_sp2,0.12062759
ERR599025,DCM,-29.5123,37.8586,UBA7428_sp2,0.132030095
ERR599026,DCM,-17.5656,42.1988,UBA7428_sp2,0.077795771
ERR599027,DCM,-47.1208,-57.8265,UBA7428_sp2,2.231309976
ERR599032,DCM,0.0328,-153.705,UBA7428_sp2,0.087594013
ERR599040,DCM,-21.0675,-35.3923,UBA7428_sp2,0.041403434
ERR599042,DCM,-25.859,-111.6989,UBA7428_sp2,0.083399333
ERR599046,DCM,-30.1495,-43.2486,UBA7428_sp2,0.061503165
ERR599053,DCM,14.5375,70.0244,UBA7428_sp2,0.050735023
ERR599056,DCM,-31.0136,4.6932,UBA7428_sp2,0.062761176
ERR599061,DCM,23.4217,37.2517,UBA7428_sp2,0.070605935
ERR599065,DCM,2.0663,-84.5304,UBA7428_sp2,0.094123411
ERR599070,DCM,14.2016,-116.696,UBA7428_sp2,0.069478536
ERR599073,DCM,35.7593,14.3453,UBA7428_sp2,0.104680084
ERR599079,DCM,-25.859,-111.6989,UBA7428_sp2,0.079023387
ERR599081,DCM,-12.9226,-96.0932,UBA7428_sp2,0.09947754
ERR599082,DCM,19.0108,64.532,UBA7428_sp2,0.06299566
ERR599087,DCM,6.3354,-103.0345,UBA7428_sp2,0.021811969
ERR599092,DCM,35.7593,14.3453,UBA7428_sp2,0.044032866
ERR599094,DCM,39.3757,19.4167,UBA7428_sp2,0.077148206
ERR599095,DCM,35.5571,-6.5586,UBA7428_sp2,0.105405531
ERR599097,DCM,23.4217,37.2517,UBA7428_sp2,0.070389187
ERR599099,DCM,14.2016,-116.696,UBA7428_sp2,0.071213766
ERR599100,DCM,25.7109,-88.4916,UBA7428_sp2,0.09093226
ERR599101,DCM,-30.1495,-43.2486,UBA7428_sp2,0.003203896
ERR599103,DCM,-31.0136,4.6932,UBA7428_sp2,0.063273143
ERR599104,DCM,-62.2658,-49.1658,UBA7428_sp2,0.285153091
ERR599107,DCM,-34.8477,18.1136,UBA7428_sp2,0.078330044
ERR599108,DCM,2.0663,-84.5304,UBA7428_sp2,0.090476925
ERR599110,DCM,-35.2528,26.317,UBA7428_sp2,0.122179939
ERR599111,DCM,18.49,39.8483,UBA7428_sp2,0.044161629
ERR599113,DCM,-12.9226,-96.0932,UBA7428_sp2,0.100379799
ERR599121,DCM,-62.2658,-49.1658,UBA7428_sp2,0.270203524
ERR599122,DCM,-47.1208,-57.8265,UBA7428_sp2,2.212001948
ERR599130,DCM,5.9997,73.914,UBA7428_sp2,0.051966089
ERR599133,DCM,-8.7006,-17.9915,UBA7428_sp2,0.074585283
ERR599137,DCM,-8.7006,-17.9915,UBA7428_sp2,0.075847131
ERR599145,DCM,18.5679,66.4581,UBA7428_sp2,0.055283647
ERR599147,DCM,14.2016,-116.696,UBA7428_sp2,0.06902415
